year_month,pedidos,receita,gmv,itens,ticket_medio,ym,mom
2017-01,750,127482.37,111798.36,913,149.06448,2017-01-01,
2017-02,1653,271239.32,234223.4,1858,141.69594676346037,2017-02-01,1.1276614170257426
2017-03,2546,414330.95,359198.85,2897,141.0836017282011,2017-03-01,0.5275475178156324
2017-04,2303,390812.4,340669.68,2569,147.9243074250977,2017-04-01,-0.056762715891728543
2017-05,3546,566851.4,489338.25,4004,137.99725042301185,2017-05-01,0.4504437423172858
2017-06,3135,490050.37,421923.37,3489,134.58480701754385,2017-06-01,-0.13548706062999938
2017-07,3872,566299.08,481604.52,4416,124.3813326446281,2017-07-01,0.1555936178560582
2017-08,4193,645832.36,554699.7,4797,132.29184354877174,2017-08-01,0.14044395057113634
2017-09,4150,701077.49,607399.67,4737,146.36136626506024,2017-09-01,0.08554097537014105
2017-10,4478,751117.01,648247.65,5214,144.76276239392587,2017-10-01,0.07137516282258627
2017-11,7289,1153364.2,987765.37,8475,135.51452462614898,2017-11-01,0.5355319938766929
2017-12,5513,843078.29,726033.1900000001,6187,131.694756031199,2017-12-01,-0.2690268260450601
2018-01,7069,1077887.46,924645.0,8037,130.80280096194653,2018-01-01,0.2785140748909569
2018-02,6555,966168.41,826437.13,7518,126.0773653699466,2018-02-01,-0.10364630274110431
2018-03,7003,1120598.24,953356.25,8017,136.13540625446237,2018-03-01,0.1598373828016173
2018-04,6798,1132878.93,973534.09,7827,143.2088982053545,2018-04-01,0.010959048088456713
2018-05,6749,1128774.52,977544.6900000001,7810,144.84289376203884,2018-05-01,-0.0036229908521645537
2018-06,6099,1011978.29,856077.86,7010,140.36364322020003,2018-06-01,-0.10347171018707968
2018-07,6159,1027807.28,867953.46,6963,140.9244130540672,2018-07-01,0.015641630019552988
2018-08,6351,985491.64,838576.64,7142,132.03851991812314,2018-08-01,-0.041170792252026134
