cat,receita,produto,pedidos,itens,share,ticket_cat,cum_share
Health Beauty,1437665.78,1255695.13,8800,9634,0.09136432337214193,142.6926284090909,0.09136432337214193
Watches Gifts,1298292.47,1198185.21,5604,5970,0.08250708524250808,213.80892398286937,0.17387140861465
Bed Bath Table,1240386.1300000001,1035964.06,9399,11097,0.07882711062903625,110.22066815618683,0.25269851924368625
Sports Leisure,1147244.6300000001,979740.92,7673,8590,0.07290792534706733,127.68681350188974,0.3256064445907536
Computers Accessories,1050941.58,904322.02,6654,7781,0.06678782210448786,135.9065253982567,0.39239426669524147
Furniture Decor,899626.04,727465.05,6425,8298,0.057171649750583545,113.22413229571985,0.449565916445825
Housewares,772035.14,626825.8,5847,6915,0.04906318921051099,107.20468616384471,0.498629105656336
Cool Stuff,704086.24,620770.49,3616,3779,0.044745005277398706,171.6732549778761,0.5433741109337347
Auto,678606.64,586585.73,3872,4204,0.04312576494617734,151.4942484504132,0.586499875879912
Garden Tools,579525.2,481009.94,3505,4328,0.03682909373770114,137.23536091298146,0.6233289696176132
Toys,556783.29,479808.54,3855,4083,0.03538383486860561,124.46395330739298,0.6587128044862188
Baby,478320.0,410312.2,2868,3043,0.03039745660174434,143.06562064156208,0.6891102610879631
Perfumery,450580.47,396599.31,3146,3402,0.028634596676740606,126.06462492053402,0.7177448577647038
Telephony,393306.02,322342.64,4183,4527,0.024994778964197176,77.06015778149654,0.742739636728901
Office Furniture,342073.02,273580.7,1272,1690,0.021738898185477556,215.07916666666668,0.7644785349143786
