cidade,receita,pedidos,share
Sao Paulo / SP,2150331.8,15291,0.13665457762554523
Rio De Janeiro / RJ,1147497.86,6800,0.07292401823035731
Belo Horizonte / MG,411471.22,2737,0.02614918580200869
Brasilia / DF,350402.91,2111,0.02226826653673258
Curitiba / PR,240767.02,1502,0.015300855163031677
Porto Alegre / RS,220002.07,1369,0.013981233013712412
Salvador / BA,216275.23,1234,0.013744390612889438
Campinas / SP,211513.69,1422,0.013441792549861612
Guarulhos / SP,161725.13,1167,0.010277706599319413
Niteroi / RJ,137389.22,842,0.008731148295069213
Sao Bernardo Do Campo / SP,118342.79,921,0.007520738884333383
Fortaleza / CE,117983.99,647,0.007497936978854404
Goiania / GO,117045.98,681,0.0074383260107430925
Santos / SP,111670.21,706,0.007096693347931672
Recife / PE,109421.82,610,0.0069538071264715695
Santo Andre / SP,103892.72,786,0.006602430271444172
Florianopolis / SC,99436.01,562,0.006319204295504298
Belem / PA,95455.55,440,0.006066244226711484
Osasco / SP,93684.02,736,0.005953662678179773
Jundiai / SP,91146.77,556,0.0057924192704971005
