customer_state,pedidos,receita,produto,clientes,share,ticket_medio
SP,41125,5878132.06,5163867.22,39747,0.37355800341439216,125.56516036474163
RJ,12697,2115667.56,1811623.42,12241,0.13445164918635713,142.68121761045916
MG,11496,1843074.43,1573508.2,11134,0.11712823005458622,136.87440848990954
RS,5415,877290.59,742559.78,5233,0.05575222160194783,137.13015327793167
PR,4982,794196.61,676883.06,4824,0.050471560849906914,135.86572862304297
SC,3599,608023.7,518578.28,3501,0.038640186556242725,144.08954709641569
BA,3344,606908.66,507108.83,3244,0.03856932524998497,151.6473773923445
DF,2120,351327.21,300886.45,2057,0.022327006228020824,141.92757075471698
GO,1998,340544.37,287870.46,1934,0.021641751772962382,144.0793093093093
ES,2018,323081.03,273532.13,1950,0.020531948461849518,135.54614965312192
PE,1643,321018.34,261739.94,1600,0.020400863561034474,159.30611077297627
CE,1323,274522.61,226264.06,1301,0.01744603847564933,171.02347694633409
PA,969,217480.54,178821.12,944,0.013820988619279821,184.54191950464397
MT,902,186005.11000000002,156313.53,872,0.011820710526274633,173.29659645232815
MA,736,150687.96,119291.62,715,0.00957628935546368,162.0810054347826
PB,531,140523.47,114874.1,516,0.008930331328088984,216.33540489642186
MS,708,135875.69,116754.65,687,0.008634962765527403,164.90769774011298
PI,490,107765.47,86660.09,478,0.006848545320061009,176.85732653061223
RN,482,101895.08,83034.98,471,0.0064754793281302635,172.2717427385892
AL,411,96229.4,80314.81,399,0.00611542275111201,195.41316301703162
SE,345,73032.32,58920.85,338,0.00464123761859154,170.7850724637681
TO,278,61103.85,49407.99,271,0.003883177848667202,177.72658273381293
RO,246,57423.770000000004,46031.64,234,0.0036493070674099948,187.12048780487805
AM,147,27835.73,22356.84,142,0.001768973479371285,152.0873469387755
AC,81,19669.7,15982.95,77,0.0012500185066886826,197.32037037037037
AP,68,16262.8,13474.3,67,0.0010335084404224115,198.15147058823527
RR,45,9948.97,7739.44,44,0.000632261631976619,171.98755555555556
