customer_state,pedidos,lead_mediana,lead_medio,prazo_prometido_medio,pct_no_prazo,dias_antes_do_prometido
AM,145,25,26.0,44.9,97.2,19.6
RR,41,25,29.0,45.6,87.8,17.3
AP,67,24,26.7,45.9,97.0,19.7
AL,397,22,24.0,32.2,78.6,8.7
PA,946,21,23.3,36.8,88.8,14.1
MA,717,19,21.1,30.1,82.6,9.6
SE,335,18,21.0,30.5,84.8,10.0
PB,517,18,20.0,32.6,89.6,13.3
AC,80,18,20.6,40.7,96.2,20.7
CE,1279,18,20.8,31.0,86.2,10.8
RO,243,17,18.9,38.4,97.1,20.1
RN,474,16,18.8,31.9,90.7,13.6
BA,3256,16,18.9,29.1,87.8,10.8
MT,886,16,17.6,31.4,94.0,14.4
PI,476,16,19.0,29.7,86.1,11.3
TO,274,15,17.2,28.7,90.1,12.1
PE,1593,15,18.0,30.7,90.4,13.3
SC,3546,13,14.5,25.4,91.8,11.5
RS,5344,13,14.8,28.2,93.9,13.9
GO,1957,13,15.2,26.7,93.5,12.2
ES,1995,13,15.3,25.2,89.3,10.5
MS,701,13,15.2,25.6,90.3,11.1
RJ,12350,12,14.8,26.0,87.9,11.8
DF,2080,11,12.5,23.9,94.3,12.0
MG,11354,10,11.5,24.2,95.4,13.2
PR,4923,10,11.5,24.3,96.0,13.3
SP,40494,7,8.3,18.8,95.5,11.1
